H	M	dt	b	n2_rel	n1_rel	fuel_flow_hour	thrust_relative	thz_n2_out	p_comp_sum	gv
0	0	-25	0	0.699	0.52	967	0.099	373.5	2.71	41.9
0	0	-25	4.5	0.756	0.63	1859	0.213	423.3	4.01	53.7
0	0	-25	11	0.825	0.73	3184	0.383	488	6.27	70
0	0	-25	22	0.903	0.84	5508	0.646	547.2	9.31	92.5
0	0	-25	31	0.964	0.89	7659	0.863	583.1	11.7	108.9
0	0	-25	38	0.993	0.94	9242	1.048	613.2	14.15	126.3
0	0	-25	48	1.039	0.99	11365	1.277	647.6	17.2	146.4
0	0	-25	50	1.06	1.05	12494	1.397	661.9	18.78	156.8
0	0	-25	50	1.067	1.1	13081	1.461	668.5	19.61	162.4
0	0	-25	50	1.078	1.15	14750	1.614	683.8	21.32	173.7
0	0	-15	0	0.71	0.51	1062	0.107	390.8	2.78	41.7
0	0	-15	4.5	0.752	0.62	1672	0.187	431.6	3.79	51.1
0	0	-15	11	0.814	0.72	2759	0.331	496.9	5.88	65.8
0	0	-15	22	0.888	0.82	4747	0.562	556.1	8.61	85.7
0	0	-15	31	0.948	0.87	6609	0.754	592.3	10.77	100.4
0	0	-15	38	0.978	0.92	8005	0.911	619.6	12.76	114.5
0	0	-15	48	1.006	0.98	9423	1.076	648.5	15.06	129.9
0	0	-15	50	1.041	1.03	10750	1.229	672.4	17.29	144.1
0	0	-15	50	1.056	1.08	11380	1.307	681.6	18.42	151.6
0	0	-15	50	1.064	1.13	12280	1.392	691.6	19.4	158
0	0	-5	0	0.717	0.5	1105	0.11	408	2.84	41.4
0	0	-5	4.5	0.748	0.61	1506	0.165	439.7	3.6	48.6
0	0	-5	11	0.802	0.71	2367	0.283	504.8	5.5	61.7
0	0	-5	22	0.869	0.81	4014	0.48	562.6	7.91	79.2
0	0	-5	31	0.914	0.86	5228	0.618	596.8	9.65	91.2
0	0	-5	38	0.963	0.91	6933	0.798	627.7	11.72	105.2
0	0	-5	48	0.987	0.96	8167	0.947	655.6	13.82	119.7
0	0	-5	50	1.017	1.01	9335	1.079	682.3	15.83	131.9
0	0	-5	50	1.041	1.06	10261	1.187	699.1	17.37	141.9
0	0	-5	50	1.051	1.11	10804	1.243	706.6	18.1	146.5
0	0	5	0	0.715	0.5	1011	0.097	417.5	2.75	39.9
0	0	5	4.5	0.728	0.59	1196	0.126	442.1	3.28	45.9
0	0	5	11	0.781	0.69	1891	0.224	507	4.99	57.1
0	0	5	22	0.85	0.79	3342	0.402	566.5	7.2	72.9
0	0	5	31	0.891	0.84	4340	0.521	599.7	8.76	83.7
0	0	5	38	0.944	0.89	5867	0.682	633.9	10.64	96
0	0	5	48	0.973	0.94	7063	0.822	662	12.54	108.8
0	0	5	50	0.998	0.99	8245	0.962	687.4	14.5	122
0	0	5	50	1.005	1.04	8511	0.994	694.1	15.01	125.3
0	0	5	50	1.031	1.09	9472	1.101	711	16.47	134.7
0	0	15	0	0.706	0.49	852	0.077	421.3	2.55	37.7
0	0	15	4.5	0.673	0.58	441	0.03	426.8	2.65	39.3
0	0	15	11	0.761	0.68	1496	0.172	508.2	4.53	53.1
0	0	15	22	0.834	0.78	2797	0.335	570.6	6.58	67.4
0	0	15	31	0.865	0.83	3509	0.424	599.6	7.79	75.6
0	0	15	38	0.905	0.88	4532	0.546	632.4	9.4	86.7
0	0	15	48	0.958	0.93	6110	0.715	666.8	11.42	99.8
0	0	15	50	0.977	0.97	7042	0.837	694.2	13.31	112.4
0	0	15	50	0.995	1.02	7684	0.907	708	14.28	118.5
0	0	15	50	1	1.07	7856	0.927	712.3	14.58	120.4
0	0	25	0	0.693	0.48	673	0.056	423.2	2.35	35.5
0	0	25	4.5	0.7	0.58	722	0.064	447.8	2.77	39.3
0	0	25	11	0.782	0.67	1727	0.193	522.1	4.49	53.3
0	0	25	22	0.815	0.77	2265	0.269	572.6	5.97	62.1
0	0	25	31	0.845	0.82	2892	0.348	600.3	7	69.2
0	0	25	38	0.884	0.86	3751	0.454	635.1	8.49	79.1
0	0	25	48	0.936	0.91	5067	0.6	672.5	10.34	90.9
0	0	25	50	0.969	0.96	6221	0.736	702.1	12.2	103.1
0	0	25	50	0.987	1.01	7022	0.838	724.5	13.79	113.6
0	0	25	50	0.996	1.06	7324	0.873	732.5	14.32	116.9
0	0	35	0	0.683	0.47	527	0.039	425.9	2.19	33.6
0	0	35	4.5	0.723	0.57	874	0.08	470.4	2.93	39.8
0	0	35	11	0.769	0.66	1444	0.156	523.3	4.1	49.7
0	0	35	22	0.792	0.76	1742	0.201	570.6	5.32	56.6
0	0	35	31	0.827	0.8	2350	0.28	602	6.36	63.7
0	0	35	38	0.861	0.85	3040	0.368	634.6	7.61	72.2
0	0	35	48	0.903	0.9	4010	0.488	671.2	9.29	83.3
0	0	35	50	0.956	0.94	5458	0.651	710.8	11.41	96.6
0	0	35	50	0.977	0.99	6349	0.768	739.9	13.3	108.8
0	0	35	50	0.995	1.04	6917	0.833	754.5	14.25	114.6
0	0.1	-25	0	0.699	0.52	976	0.086	374.4	2.71	42
0	0.1	-25	4.5	0.756	0.63	1855	0.195	423.7	3.99	53.8
0	0.1	-25	11	0.825	0.73	3172	0.358	488.5	6.25	70
0	0.1	-25	22	0.903	0.84	5494	0.615	547.6	9.28	92.5
0	0.1	-25	31	0.963	0.89	7634	0.826	583.7	11.66	109
0	0.1	-25	38	0.991	0.94	9197	1.002	613.5	14.07	126.1
0	0.1	-25	48	1.038	0.99	11313	1.224	647.8	17.1	146.1
0	0.1	-25	50	1.059	1.05	12441	1.342	662.5	18.7	156.7
0	0.1	-25	50	1.066	1.1	13026	1.405	669.1	19.54	162.3
0	0.1	-25	50	1.077	1.15	14650	1.55	684.1	21.19	173.4
0	0.1	-15	0	0.71	0.51	1068	0.094	391.7	2.78	41.9
0	0.1	-15	4.5	0.752	0.62	1668	0.17	432	3.78	51.1
0	0.1	-15	11	0.814	0.72	2747	0.308	497.4	5.86	65.8
0	0.1	-15	22	0.887	0.82	4722	0.531	556.5	8.57	85.6
0	0.1	-15	31	0.947	0.87	6567	0.717	592.6	10.71	100.2
0	0.1	-15	38	0.978	0.92	7982	0.87	620.1	12.7	114.3
0	0.1	-15	48	1.003	0.97	9302	1.021	647.3	14.88	129.2
0	0.1	-15	50	1.039	1.03	10702	1.177	672.8	17.2	144
